Nivel,Probabilidad
430,2.85492417321396e-07
431,1.90328278214264e-07
432,1.90328278214264e-07
433,6.66148973749924e-07
434,9.5164139107132e-08
435,3.80656556428528e-07
436,1.90328278214264e-07
437,9.5164139107132e-08
438,3.80656556428528e-07
439,5.70984834642792e-07
440,9.5164139107132e-08
441,1.90328278214264e-07
442,9.5164139107132e-08
443,1.90328278214264e-07
444,5.70984834642792e-07
445,9.5164139107132e-08
446,9.5164139107132e-08
447,2.85492417321396e-07
448,9.5164139107132e-08
449,9.5164139107132e-08
450,9.5164139107132e-08
451,1.90328278214264e-07
452,1.90328278214264e-07
453,3.80656556428528e-07
454,3.80656556428528e-07
455,2.85492417321396e-07
456,3.80656556428528e-07
457,9.5164139107132e-08
458,1.90328278214264e-07
459,0
460,2.85492417321396e-07
461,2.85492417321396e-07
462,4.7582069553566e-07
463,1.90328278214264e-07
464,1.90328278214264e-07
465,3.80656556428528e-07
466,3.80656556428528e-07
467,2.85492417321396e-07
468,9.5164139107132e-08
469,1.90328278214264e-07
470,4.7582069553566e-07
471,1.90328278214264e-07
472,1.90328278214264e-07
473,3.80656556428528e-07
474,2.85492417321396e-07
475,1.90328278214264e-07
476,3.80656556428528e-07
477,3.80656556428528e-07
478,3.80656556428528e-07
479,1.90328278214264e-07
480,9.5164139107132e-08
481,2.85492417321396e-07
482,0
483,2.85492417321396e-07
484,2.85492417321396e-07
485,3.80656556428528e-07
486,9.5164139107132e-08
487,1.90328278214264e-07
488,9.5164139107132e-08
489,3.80656556428528e-07
490,3.80656556428528e-07
491,1.90328278214264e-07
492,4.7582069553566e-07
493,1.90328278214264e-07
494,2.85492417321396e-07
495,1.90328278214264e-07
496,2.85492417321396e-07
497,3.80656556428528e-07
498,9.5164139107132e-08
499,3.80656556428528e-07
500,1.90328278214264e-07
501,1.90328278214264e-07
502,1.90328278214264e-07
503,2.85492417321396e-07
504,3.80656556428528e-07
505,9.5164139107132e-08
506,2.85492417321396e-07
507,9.5164139107132e-08
508,9.5164139107132e-08
509,9.5164139107132e-08
510,9.5164139107132e-08
511,1.90328278214264e-07
512,1.90328278214264e-07
513,4.7582069553566e-07
514,0
515,1.90328278214264e-07
516,2.85492417321396e-07
517,4.7582069553566e-07
518,1.90328278214264e-07
519,2.85492417321396e-07
520,9.5164139107132e-08
521,9.5164139107132e-08
522,3.80656556428528e-07
523,2.85492417321396e-07
524,4.7582069553566e-07
525,2.85492417321396e-07
526,2.85492417321396e-07
527,1.90328278214264e-07
528,1.90328278214264e-07
529,1.90328278214264e-07
530,3.80656556428528e-07
531,3.80656556428528e-07
532,9.5164139107132e-08
533,1.90328278214264e-07
534,2.85492417321396e-07
535,2.85492417321396e-07
536,0
537,1.90328278214264e-07
538,3.80656556428528e-07
539,0
540,2.85492417321396e-07
541,2.85492417321396e-07
542,2.85492417321396e-07
543,1.90328278214264e-07
544,1.90328278214264e-07
545,3.80656556428528e-07
546,1.90328278214264e-07
547,3.80656556428528e-07
548,2.85492417321396e-07
549,3.80656556428528e-07
550,3.80656556428528e-07
551,2.85492417321396e-07
552,1.90328278214264e-07
553,3.80656556428528e-07
554,3.80656556428528e-07
555,9.5164139107132e-08
556,6.66148973749924e-07
557,1.90328278214264e-07
558,9.5164139107132e-08
559,9.5164139107132e-08
560,3.80656556428528e-07
561,2.85492417321396e-07
562,2.85492417321396e-07
563,1.90328278214264e-07
564,2.85492417321396e-07
565,0
566,1.90328278214264e-07
567,2.85492417321396e-07
568,2.85492417321396e-07
569,2.85492417321396e-07
570,2.85492417321396e-07
571,9.5164139107132e-08
572,5.70984834642792e-07
573,1.90328278214264e-07
574,3.80656556428528e-07
575,3.80656556428528e-07
576,5.70984834642792e-07
577,1.90328278214264e-07
578,1.90328278214264e-07
579,4.7582069553566e-07
580,1.90328278214264e-07
581,3.80656556428528e-07
582,2.85492417321396e-07
583,1.90328278214264e-07
584,2.85492417321396e-07
585,3.80656556428528e-07
586,9.5164139107132e-08
587,2.85492417321396e-07
588,1.90328278214264e-07
589,3.80656556428528e-07
590,2.85492417321396e-07
591,4.7582069553566e-07
592,1.90328278214264e-07
593,0
594,1.90328278214264e-07
595,9.5164139107132e-08
596,2.85492417321396e-07
597,9.5164139107132e-08
598,2.85492417321396e-07
599,3.80656556428528e-07
600,1.90328278214264e-07
601,2.85492417321396e-07
602,0
603,2.85492417321396e-07
604,2.85492417321396e-07
605,2.85492417321396e-07
606,2.85492417321396e-07
607,2.85492417321396e-07
608,1.90328278214264e-07
609,1.90328278214264e-07
610,2.85492417321396e-07
611,3.80656556428528e-07
612,2.85492417321396e-07
613,5.70984834642792e-07
614,2.85492417321396e-07
615,3.80656556428528e-07
616,2.85492417321396e-07
617,3.80656556428528e-07
618,2.85492417321396e-07
619,2.85492417321396e-07
620,9.5164139107132e-08
621,3.80656556428528e-07
622,3.80656556428528e-07
623,3.80656556428528e-07
624,9.5164139107132e-08
625,4.7582069553566e-07
626,2.85492417321396e-07
627,3.80656556428528e-07
628,3.80656556428528e-07
629,0
630,3.80656556428528e-07
631,9.5164139107132e-08
632,2.85492417321396e-07
633,2.85492417321396e-07
634,9.5164139107132e-08
635,2.85492417321396e-07
636,1.90328278214264e-07
637,2.85492417321396e-07
638,9.5164139107132e-08
639,2.85492417321396e-07
640,2.85492417321396e-07
641,9.5164139107132e-08
642,3.80656556428528e-07
643,5.70984834642792e-07
644,1.90328278214264e-07
645,1.90328278214264e-07
646,1.90328278214264e-07
647,6.66148973749924e-07
648,2.85492417321396e-07
649,2.85492417321396e-07
650,1.90328278214264e-07
651,9.5164139107132e-08
652,9.5164139107132e-08
653,2.85492417321396e-07
654,2.85492417321396e-07
655,1.90328278214264e-07
656,3.80656556428528e-07
657,1.90328278214264e-07
658,4.7582069553566e-07
659,9.5164139107132e-08
660,2.85492417321396e-07
661,4.7582069553566e-07
662,3.80656556428528e-07
663,0
664,2.85492417321396e-07
665,2.85492417321396e-07
666,9.5164139107132e-08
667,3.80656556428528e-07
668,1.90328278214264e-07
669,0
670,3.80656556428528e-07
671,5.70984834642792e-07
672,1.90328278214264e-07
673,4.7582069553566e-07
674,9.5164139107132e-08
675,9.5164139107132e-08
676,5.70984834642792e-07
677,4.7582069553566e-07
678,4.7582069553566e-07
679,9.5164139107132e-08
680,1.90328278214264e-07
681,2.85492417321396e-07
682,1.90328278214264e-07
683,0
684,1.90328278214264e-07
685,2.85492417321396e-07
686,4.7582069553566e-07
687,3.80656556428528e-07
688,9.5164139107132e-08
689,5.70984834642792e-07
690,1.90328278214264e-07
691,3.80656556428528e-07
692,2.85492417321396e-07
693,0
694,3.80656556428528e-07
695,2.85492417321396e-07
696,9.5164139107132e-08
697,9.5164139107132e-08
698,4.7582069553566e-07
699,9.5164139107132e-08
700,3.80656556428528e-07
701,1.90328278214264e-07
702,1.90328278214264e-07
703,2.85492417321396e-07
704,3.80656556428528e-07
705,3.80656556428528e-07
706,1.90328278214264e-07
707,4.7582069553566e-07
708,2.85492417321396e-07
709,2.85492417321396e-07
710,3.80656556428528e-07
711,5.70984834642792e-07
712,5.70984834642792e-07
713,2.85492417321396e-07
714,2.85492417321396e-07
715,9.5164139107132e-08
716,1.90328278214264e-07
717,3.80656556428528e-07
718,1.90328278214264e-07
719,5.70984834642792e-07
720,9.5164139107132e-08
721,3.80656556428528e-07
722,4.7582069553566e-07
723,3.80656556428528e-07
724,4.7582069553566e-07
725,3.80656556428528e-07
726,5.70984834642792e-07
727,5.70984834642792e-07
728,1.90328278214264e-07
729,2.85492417321396e-07
730,2.85492417321396e-07
731,1.90328278214264e-07
732,2.85492417321396e-07
733,2.85492417321396e-07
734,9.5164139107132e-08
735,4.7582069553566e-07
736,2.85492417321396e-07
737,4.7582069553566e-07
738,4.7582069553566e-07
739,7.61313112857056e-07
740,2.85492417321396e-07
741,1.90328278214264e-07
742,2.85492417321396e-07
743,2.85492417321396e-07
744,3.80656556428528e-07
745,1.90328278214264e-07
746,2.85492417321396e-07
747,3.80656556428528e-07
748,4.7582069553566e-07
749,2.85492417321396e-07
750,2.85492417321396e-07
751,4.7582069553566e-07
752,3.80656556428528e-07
753,1.90328278214264e-07
754,1.90328278214264e-07
755,3.80656556428528e-07
756,0
757,2.85492417321396e-07
758,2.85492417321396e-07
759,3.80656556428528e-07
760,2.85492417321396e-07
761,1.90328278214264e-07
762,0
763,1.90328278214264e-07
764,1.90328278214264e-07
765,9.5164139107132e-08
766,9.5164139107132e-08
767,9.5164139107132e-08
768,1.90328278214264e-07
769,2.85492417321396e-07
770,5.70984834642792e-07
771,4.7582069553566e-07
772,1.90328278214264e-07
773,2.85492417321396e-07
774,2.85492417321396e-07
775,1.90328278214264e-07
776,2.85492417321396e-07
777,7.61313112857056e-07
778,3.80656556428528e-07
779,1.90328278214264e-07
780,9.5164139107132e-08
781,1.90328278214264e-07
782,1.90328278214264e-07
783,4.7582069553566e-07
784,4.7582069553566e-07
785,1.90328278214264e-07
786,1.90328278214264e-07
787,2.85492417321396e-07
788,7.61313112857056e-07
789,2.85492417321396e-07
790,2.85492417321396e-07
791,0
792,7.61313112857056e-07
793,1.90328278214264e-07
794,1.90328278214264e-07
795,6.66148973749924e-07
796,2.85492417321396e-07
797,9.5164139107132e-08
798,2.85492417321396e-07
799,3.80656556428528e-07
800,1.90328278214264e-07
801,2.85492417321396e-07
802,2.85492417321396e-07
803,3.80656556428528e-07
804,1.90328278214264e-07
805,6.66148973749924e-07
806,1.90328278214264e-07
807,3.80656556428528e-07
808,4.7582069553566e-07
809,9.5164139107132e-08
810,4.7582069553566e-07
811,9.5164139107132e-08
812,2.85492417321396e-07
813,4.7582069553566e-07
814,4.7582069553566e-07
815,9.5164139107132e-08
816,4.7582069553566e-07
817,1.90328278214264e-07
818,1.90328278214264e-07
819,9.5164139107132e-08
820,3.80656556428528e-07
821,4.7582069553566e-07
822,0
823,3.80656556428528e-07
824,5.70984834642792e-07
825,2.85492417321396e-07
826,2.85492417321396e-07
827,2.85492417321396e-07
828,5.70984834642792e-07
829,6.66148973749924e-07
830,0
831,1.90328278214264e-07
832,1.90328278214264e-07
833,1.90328278214264e-07
834,5.70984834642792e-07
835,1.90328278214264e-07
836,2.85492417321396e-07
837,4.7582069553566e-07
838,1.90328278214264e-07
839,4.7582069553566e-07
840,1.90328278214264e-07
841,2.85492417321396e-07
842,2.85492417321396e-07
843,5.70984834642792e-07
844,1.90328278214264e-07
845,3.80656556428528e-07
846,1.90328278214264e-07
847,3.80656556428528e-07
848,7.61313112857056e-07
849,2.85492417321396e-07
850,1.90328278214264e-07
851,4.7582069553566e-07
852,9.5164139107132e-08
853,1.90328278214264e-07
854,3.80656556428528e-07
855,9.5164139107132e-08
856,0
857,2.85492417321396e-07
858,2.85492417321396e-07
859,2.85492417321396e-07
860,6.66148973749924e-07
861,3.80656556428528e-07
862,9.5164139107132e-08
863,9.5164139107132e-08
864,3.80656556428528e-07
865,2.85492417321396e-07
866,2.85492417321396e-07
867,1.90328278214264e-07
868,1.90328278214264e-07
869,2.85492417321396e-07
870,2.85492417321396e-07
871,2.85492417321396e-07
872,9.5164139107132e-08
873,1.90328278214264e-07
874,2.85492417321396e-07
875,3.80656556428528e-07
