Nivel,Probabilidad
569,1.59357470678225e-07
570,7.96787353391127e-08
571,1.59357470678225e-07
572,1.59357470678225e-07
573,2.39036206017338e-07
574,7.96787353391127e-08
575,2.39036206017338e-07
576,3.18714941356451e-07
577,2.39036206017338e-07
578,2.39036206017338e-07
579,7.96787353391127e-08
580,3.18714941356451e-07
581,2.39036206017338e-07
582,7.96787353391127e-08
583,1.59357470678225e-07
584,3.18714941356451e-07
585,7.96787353391127e-08
586,7.96787353391127e-08
587,0
588,7.96787353391127e-08
589,2.39036206017338e-07
590,1.59357470678225e-07
591,1.59357470678225e-07
592,7.96787353391127e-08
593,2.39036206017338e-07
594,0
595,7.96787353391127e-08
596,3.18714941356451e-07
597,3.98393676695564e-07
598,1.59357470678225e-07
599,0
600,5.57751147373789e-07
601,2.39036206017338e-07
602,3.98393676695564e-07
603,2.39036206017338e-07
604,3.98393676695564e-07
605,1.59357470678225e-07
606,2.39036206017338e-07
607,1.59357470678225e-07
608,2.39036206017338e-07
609,7.96787353391127e-08
610,1.59357470678225e-07
611,2.39036206017338e-07
612,0
613,2.39036206017338e-07
614,2.39036206017338e-07
615,2.39036206017338e-07
616,7.96787353391127e-08
617,0
618,7.96787353391127e-08
619,7.96787353391127e-08
620,1.59357470678225e-07
621,0
622,2.39036206017338e-07
623,3.18714941356451e-07
624,3.18714941356451e-07
625,0
626,1.59357470678225e-07
627,3.18714941356451e-07
628,2.39036206017338e-07
629,2.39036206017338e-07
630,3.98393676695564e-07
631,0
632,2.39036206017338e-07
633,1.59357470678225e-07
634,1.59357470678225e-07
635,7.96787353391127e-08
636,2.39036206017338e-07
637,2.39036206017338e-07
638,3.18714941356451e-07
639,0
640,1.59357470678225e-07
641,2.39036206017338e-07
642,9.56144824069352e-07
643,2.39036206017338e-07
644,0
645,2.39036206017338e-07
646,0
647,1.59357470678225e-07
648,1.59357470678225e-07
649,1.59357470678225e-07
650,3.18714941356451e-07
651,0
652,1.59357470678225e-07
653,1.59357470678225e-07
654,2.39036206017338e-07
655,1.59357470678225e-07
656,2.39036206017338e-07
657,7.96787353391127e-08
658,1.59357470678225e-07
659,1.59357470678225e-07
660,1.59357470678225e-07
661,3.18714941356451e-07
662,1.59357470678225e-07
663,7.96787353391127e-08
664,4.78072412034676e-07
665,3.98393676695564e-07
666,1.59357470678225e-07
667,1.59357470678225e-07
668,2.39036206017338e-07
669,1.59357470678225e-07
670,0
671,2.39036206017338e-07
672,1.59357470678225e-07
673,2.39036206017338e-07
674,2.39036206017338e-07
675,7.96787353391127e-08
676,2.39036206017338e-07
677,0
678,3.18714941356451e-07
679,7.96787353391127e-08
680,3.18714941356451e-07
681,2.39036206017338e-07
682,7.96787353391127e-08
683,2.39036206017338e-07
684,2.39036206017338e-07
685,7.96787353391127e-08
686,7.96787353391127e-08
687,7.96787353391127e-08
688,1.59357470678225e-07
689,1.59357470678225e-07
690,2.39036206017338e-07
691,2.39036206017338e-07
692,1.59357470678225e-07
693,2.39036206017338e-07
694,1.59357470678225e-07
695,1.59357470678225e-07
696,2.39036206017338e-07
697,7.96787353391127e-08
698,7.96787353391127e-08
699,0
700,1.59357470678225e-07
701,3.18714941356451e-07
702,3.18714941356451e-07
703,1.59357470678225e-07
704,2.39036206017338e-07
705,1.59357470678225e-07
706,3.18714941356451e-07
707,3.98393676695564e-07
708,1.59357470678225e-07
709,3.18714941356451e-07
710,0
711,3.98393676695564e-07
712,3.98393676695564e-07
713,1.59357470678225e-07
714,5.57751147373789e-07
715,2.39036206017338e-07
716,1.59357470678225e-07
717,3.18714941356451e-07
718,7.96787353391127e-08
719,0
720,0
721,3.18714941356451e-07
722,1.59357470678225e-07
723,2.39036206017338e-07
724,3.98393676695564e-07
725,2.39036206017338e-07
726,7.96787353391127e-08
727,1.59357470678225e-07
728,2.39036206017338e-07
729,0
730,2.39036206017338e-07
731,2.39036206017338e-07
732,1.59357470678225e-07
733,2.39036206017338e-07
734,2.39036206017338e-07
735,3.18714941356451e-07
736,7.96787353391127e-08
737,3.18714941356451e-07
738,0
739,3.18714941356451e-07
740,2.39036206017338e-07
741,1.59357470678225e-07
